pwm,m1,m2,m3,m4,mean
20,21.537072,21.72115,22.089305,21.352995,21.67513
21,23.561925,23.746003,23.746003,23.377847,23.607944
22,25.770855,25.586778,26.139011,25.218623,25.678817
23,27.795708,27.427553,28.163863,26.875321,27.565611
24,29.636484,29.636484,29.820561,29.268329,29.590464
25,31.845414,31.477259,32.029492,31.109104,31.615317
26,33.68619,33.870267,34.054345,32.949879,33.64017
27,36.079198,35.526965,36.263275,35.342887,35.803081
28,38.104051,37.551818,37.919973,37.36774,37.735896
29,40.128904,39.944826,40.497059,39.392593,39.990845
30,41.969679,41.785601,42.705989,41.417446,41.969679
31,43.994532,44.178609,44.546764,43.626377,44.086571
32,46.019385,46.203462,46.755695,45.835307,46.203462
33,48.044238,48.228315,48.59647,47.86016,48.182296
34,50.253168,49.885013,50.805401,49.516858,50.11511
35,52.278021,51.725788,52.830254,51.357633,52.047924
36,54.855107,54.486952,55.039184,53.934719,54.57899
37,56.87996,56.143649,56.87996,55.775494,56.419766
38,58.536657,57.984425,59.641123,58.168502,58.582677
39,60.56151,60.193355,61.665976,60.009278,60.60753
40,63.138596,62.586363,63.322673,62.402286,62.86248
41,65.163449,64.243061,65.163449,64.058984,64.657236
42,67.372379,66.267914,67.556457,65.715681,66.728108
43,69.213155,68.292767,69.58131,67.924612,68.752961
44,71.606163,70.31762,71.974318,70.133542,71.007911
45,72.894705,72.894705,73.631016,71.79024,72.802667
46,74.919558,74.735481,76.208101,73.999171,74.965578
47,77.496644,77.128489,77.680721,76.024024,77.082469
48,79.521497,78.785187,79.337419,78.417032,79.015284
49,81.54635,80.625962,81.54635,80.073729,80.948098
50,83.387125,82.28266,83.571203,81.54635,82.696834
51,85.043823,84.49159,85.964211,83.571203,84.767707
52,86.332366,86.884598,87.068676,85.411978,86.424405
53,88.541296,88.541296,89.461684,87.252754,88.449258
54,90.382072,90.566149,91.670614,89.277606,90.47411
55,92.406925,92.222847,93.51139,91.486537,92.406925
56,94.063622,93.327312,94.98401,92.959157,93.833526
57,96.088475,95.904398,97.192941,94.98401,96.042456
58,98.481483,97.745173,99.033716,96.45663,97.929251
59,99.401871,99.217794,100.322259,99.033716,99.49391
60,102.163034,100.874491,102.163034,100.690414,101.472743
61,103.451577,103.451577,104.00381,101.978957,103.22148
62,104.924197,104.74012,105.844585,103.819732,104.832158
63,106.94905,106.94905,107.68536,105.844585,106.857011
